期刊名称,JCR_2024JIF,JCR_Quartile,JCR_JIF_rank,JCR_Category,CAS_分区,CAS_Top,CAS_OpenAccess,ISSN,EISSN,出版商,国家,EI_学科,数据来源
20 ET 21-REVUE D HISTOIRE,<0.1,Q4,479/538,HISTORY(AHCI),4,否,否,,,,,,JCR+CAS
2D MATERIALS,4.3,Q2,57/187,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)",3,否,否,-,20531583,Institute of Physics,United States,Chemistry (all); Mechanical Engineering; Mechanics of Materials; Materials Science (all); Condensed Matter Physics,JCR+CAS+EI
3 BIOTECH,2.9,Q2,88/177,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE),4,否,否,,,,,,JCR+CAS
3C EMPRESA,0.3,Q4,294/316,BUSINESS(ESCI),4,否,是,,,,,,JCR+CAS
3C TECNOLOGIA,0.2,Q4,166/175,"ENGINEERING, MULTIDISCIPLINARY(ESCI)",4,否,是,,,,,,JCR+CAS
3C TIC,0.1,Q4,147/147,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",4,否,是,,,,,,JCR+CAS
3D PRINTING AND ADDITIVE MANUFACTURING,2.1,Q3,317/460,"ENGINEERING, MANUFACTURING(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",4,否,否,23297662,23297670,Mary Ann Liebert Inc.,United States,Industrial and Manufacturing Engineering; Materials Science (miscellaneous),JCR+CAS+EI
3D PRINTING IN MEDICINE,3.1,Q2,58/212,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)",3,否,是,-,23656271,BioMed Central Ltd,Switzerland,"Computer Science Applications; Biomedical Engineering; Radiology, Nuclear Medicine and Imaging",JCR+CAS+EI
3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,0.8,,,LANGUAGE & LINGUISTICS(ESCI),3,否,是,,,,,,JCR+CAS
452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,0.1,,,LITERATURE(ESCI),4,否,是,,,,,,JCR+CAS
